CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Cluster,PCA1,PCA2,Churn,Churn_Probability,Churn_Risk,Retention_Action
12346.0,326,1,77183.6,1,1,5,115,Lost Customers,3,4.106623311276754,5.433579403001396,1,0.95,High Risk,Re-engagement campaign
12347.0,2,7,4310.0,5,5,5,555,Champions,0,0.7424105574712951,-0.6713004179769815,0,,Low Risk,No immediate action
12348.0,75,4,1797.24,2,4,4,244,At Risk,0,0.0248023363181199,-0.1749539970553377,0,0.0011168101239688,Low Risk,No immediate action
12349.0,19,1,1757.55,4,1,4,414,Potential Loyalists,0,-0.0280363488531231,-0.735123830771832,0,,Low Risk,Personalized email campaign
12350.0,310,1,334.40000000000003,1,1,2,112,Lost Customers,1,-1.2354657626817005,1.83494560401996,1,,Low Risk,Re-engagement campaign
12352.0,36,8,2506.04,3,5,5,355,Loyal Customers,0,0.573914162510059,-0.4274545548628763,0,,Low Risk,No immediate action
12353.0,204,1,89.0,1,1,1,111,Lost Customers,1,-0.8493458718414495,0.8644419827491495,1,,Low Risk,Re-engagement campaign
12354.0,232,1,1079.4,1,1,4,114,Lost Customers,1,-0.8862659742399069,1.1623993379629534,1,,Low Risk,Re-engagement campaign
12355.0,214,1,459.4,1,1,2,112,Lost Customers,1,-0.861358513457522,0.9716052242729925,1,,Low Risk,Re-engagement campaign
12356.0,23,3,2811.43,4,3,5,435,Loyal Customers,0,0.2062703077266308,-0.6172238891667751,0,0.0015139628971778,Low Risk,No immediate action
12357.0,33,1,6207.67,4,1,5,415,Potential Loyalists,0,0.2315590141822812,-0.4084005301606966,0,,Low Risk,Personalized email campaign
12358.0,2,2,1168.06,5,2,4,524,Potential Loyalists,0,0.0829277371032162,-0.8983305061703298,0,,Low Risk,Personalized email campaign
12359.0,58,4,6372.58,3,4,5,345,Loyal Customers,0,0.4111690275245043,-0.1232040659708191,0,,Low Risk,No immediate action
12360.0,52,3,2662.06,3,3,5,335,Loyal Customers,0,0.0854118966687106,-0.3614391809548989,0,,Low Risk,No immediate action
12361.0,287,1,189.9,1,1,1,111,Lost Customers,1,-1.1581006717892397,1.6202634847155128,1,,Low Risk,Re-engagement campaign
12362.0,3,10,5226.2300000000005,5,5,5,555,Champions,0,1.066172771781769,-0.5695771878804765,0,0.0017763802119338,Low Risk,No immediate action
12363.0,110,2,552.0,2,2,3,223,Others,0,-0.3713689486024469,0.0515601077142664,1,0.9964941105845416,High Risk,No immediate action
12364.0,8,4,1313.1,5,4,4,544,Champions,0,0.2457264908491447,-0.803172955159729,0,,Low Risk,No immediate action
12365.0,291,2,641.38,1,2,3,123,Lost Customers,1,-1.0538634616409923,1.6939253785176074,1,1.0,High Risk,Re-engagement campaign
12367.0,4,1,168.9,5,1,1,511,Potential Loyalists,0,-0.0826472109703672,-0.9422967074787536,0,0.0040915527420233,Low Risk,Personalized email campaign
12370.0,51,4,3545.69,3,4,5,345,Loyal Customers,0,0.2390589629626876,-0.3136135570576511,0,,Low Risk,No immediate action
12371.0,45,2,1887.96,3,2,4,324,Others,0,-0.0300912832429081,-0.4767554197034492,0,,Low Risk,No immediate action
12372.0,72,3,1298.04,3,3,4,334,Loyal Customers,0,-0.0865952918837292,-0.2417089065262927,0,,Low Risk,No immediate action
12373.0,311,1,364.6,1,1,2,112,Lost Customers,1,-1.2371479212819725,1.8453545203812003,1,,Low Risk,Re-engagement campaign
12374.0,25,1,742.9300000000001,4,1,3,413,Potential Loyalists,0,-0.1222028658998373,-0.7264136637162479,0,,Low Risk,Personalized email campaign
12375.0,11,2,457.5,5,2,2,522,Potential Loyalists,0,-0.0012776933353342,-0.8488001299290531,0,0.0014941105845417,Low Risk,Personalized email campaign
12377.0,315,2,1628.12,1,2,4,124,Lost Customers,1,-1.0758192608452009,1.9555116514230764,1,,Low Risk,Re-engagement campaign
12378.0,130,1,4008.62,2,1,5,215,Others,0,-0.2921722244259088,0.3707781746443604,1,,Low Risk,No immediate action
12379.0,82,2,852.24,2,2,3,223,Others,0,-0.2437088464498132,-0.1883924534116207,0,,Low Risk,No immediate action
12380.0,22,4,2724.81,4,4,5,445,Champions,0,0.2917027791207987,-0.6130038806725842,0,,Low Risk,No immediate action
12381.0,5,5,1845.31,5,4,4,544,Champions,0,0.38227736271497,-0.789244376759606,0,0.0011168101239688,Low Risk,No immediate action
12383.0,185,5,1850.56,1,4,4,144,At Risk,1,-0.3023266053310814,0.8402882200543703,1,,Low Risk,No immediate action
12384.0,29,2,585.27,4,2,3,423,Potential Loyalists,0,-0.0607919771504766,-0.6801281415365378,0,,Low Risk,Personalized email campaign
12386.0,338,2,401.9,1,2,2,122,Lost Customers,1,-1.249554472346851,2.108589968464933,1,,Low Risk,Re-engagement campaign
12388.0,16,6,2780.6600000000003,4,4,5,445,Champions,0,0.4938957941968447,-0.630474541988351,0,0.0020940802549241,Low Risk,No immediate action
12390.0,80,1,549.84,2,1,3,213,Others,0,-0.3450756195850361,-0.2372509994446543,0,,Low Risk,No immediate action
12391.0,22,1,460.89,4,1,2,412,Potential Loyalists,0,-0.1306158098852813,-0.7662442355392246,0,,Low Risk,Personalized email campaign
12393.0,72,4,1582.6,3,4,4,344,Loyal Customers,0,0.0211280305148424,-0.2117554336264039,0,,Low Risk,No immediate action
12394.0,64,2,1272.48,3,2,4,324,Others,0,-0.1456660595158412,-0.3324354149584477,0,,Low Risk,No immediate action
12395.0,19,12,3018.63,4,5,5,455,Champions,0,1.0255122768557363,-0.4896370549359731,0,,Low Risk,No immediate action
12397.0,36,2,2409.9,3,2,5,325,Others,0,0.0408529909060242,-0.5347628803841225,0,,Low Risk,No immediate action
12398.0,46,1,1635.66,3,1,4,314,Others,0,-0.1393519334605166,-0.4962073943634779,0,,Low Risk,No immediate action
12399.0,119,4,1108.65,2,4,4,244,At Risk,0,-0.1910476759561882,0.1923714509423547,1,,Low Risk,No immediate action
12401.0,303,1,84.3,1,1,1,111,Lost Customers,1,-1.226411502593294,1.760343908567699,1,,Low Risk,Re-engagement campaign
12402.0,323,1,225.6,1,1,1,111,Lost Customers,1,-1.2925853554131077,1.9477272672308112,1,,Low Risk,Re-engagement campaign
12403.0,50,1,427.7,3,1,2,312,Others,0,-0.2395006401306808,-0.5142897371874819,0,,Low Risk,No immediate action
12405.0,149,1,1710.39,2,1,4,214,Others,1,-0.5260547662929193,0.4394709190755316,1,,Low Risk,No immediate action
12406.0,22,2,3415.3,4,2,5,425,Potential Loyalists,0,0.1648145325527185,-0.6163006031094712,0,,Low Risk,Personalized email campaign
12407.0,50,5,1708.12,3,4,4,344,Loyal Customers,0,0.2013887856170249,-0.38808589825682,0,,Low Risk,No immediate action
12408.0,33,5,2888.55,4,4,5,445,Champions,0,0.349072240161404,-0.4889122514165597,0,,Low Risk,No immediate action
12409.0,79,3,11072.67,2,3,5,235,At Risk,0,0.5739840018140825,0.2609504978410688,0,,Low Risk,No immediate action
12410.0,309,2,693.33,1,2,3,123,Lost Customers,1,-1.1187083618800502,1.859189814465021,1,,Low Risk,Re-engagement campaign
12412.0,75,3,1226.88,2,3,4,234,At Risk,0,-0.1030144993217456,-0.2177520820471549,0,0.0011871355285657,Low Risk,No immediate action
12413.0,67,3,758.1,3,3,3,333,Loyal Customers,0,-0.1055293940540575,-0.3112334863277198,0,0.0024895517245003,Low Risk,No immediate action
12414.0,217,3,562.4100000000001,1,3,3,133,At Risk,1,-0.6900985115590286,1.0377188911729462,1,1.0,High Risk,Discount coupon
12415.0,24,21,124914.53,4,5,5,455,Champions,2,10.365976217696664,5.188428423692512,0,0.0,Low Risk,No immediate action
12417.0,3,9,3649.1,5,5,5,555,Champions,0,0.8675737586543685,-0.6576221942011631,0,,Low Risk,No immediate action
12418.0,113,1,668.58,2,1,3,213,Others,0,-0.4623058580616274,0.0667898773866498,1,,Low Risk,No immediate action
12420.0,64,1,600.39,3,1,3,313,Others,0,-0.2806351453377811,-0.3798055167036306,0,0.002637024729744,Low Risk,No immediate action
12421.0,16,4,807.04,4,4,3,443,Loyal Customers,0,0.1797040852030697,-0.7535034530894356,0,,Low Risk,No immediate action
12422.0,96,3,803.5600000000001,2,3,3,233,At Risk,0,-0.2126900472925189,-0.0466925997608036,1,,Low Risk,No immediate action
12423.0,1,8,1859.31,5,5,4,554,Champions,0,0.6616342400329028,-0.7733280025834393,0,0.0019626068640561,Low Risk,No immediate action
12424.0,163,2,1760.96,2,2,4,224,Others,1,-0.4880580763406691,0.5856313316840952,1,,Low Risk,No immediate action
12425.0,78,1,777.2,2,1,3,213,Others,0,-0.3214799889824106,-0.2451361324625407,0,,Low Risk,No immediate action
12426.0,195,1,582.73,1,1,3,113,Lost Customers,1,-0.7803849357209878,0.8051666896433074,1,1.0,High Risk,Re-engagement campaign
12427.0,22,3,825.8000000000001,4,3,3,433,Loyal Customers,0,0.070473604894351,-0.7155150302408212,0,0.0024895517245003,Low Risk,No immediate action
12428.0,26,9,7956.46,4,5,5,455,Champions,0,1.082883554156774,-0.2558500752710849,0,,Low Risk,No immediate action
12429.0,9,4,3750.4,5,4,5,545,Champions,0,0.4132783970603441,-0.6845825630585262,0,,Low Risk,No immediate action
